Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:25:46:423,0.443,2.1338,11.7293,49.0773,-0.2208,0.3027,-0.1244,193.2031
19:25:46:443,0.2431,1.9722,11.9508,49.7662,-0.0762,0.4441,-0.182,193.25
19:25:46:463,-0.1591,2.1745,11.4923,49.9029,0.0274,0.4412,-0.252,193.3281
19:25:46:484,-0.7553,2.2799,10.0235,50.4538,-0.0392,0.3594,-0.2352,193.4375
19:25:46:507,-1.0665,1.8094,9.9456,49.994,-0.4778,0.4918,-0.0973,193.6094
19:25:46:524,-0.9456,0.5812,12.8031,49.7692,-0.8828,0.7216,0.0553,193.8438
19:25:46:543,-0.7744,-0.3346,15.1351,48.8032,-0.6477,0.5725,0.0202,193.9844
19:25:46:563,-0.8151,-0.3681,13.9858,50.3584,0.0698,0.1389,-0.1338,193.8438
19:25:46:584,-1.106,0.3454,10.2186,49.1228,0.6016,-0.3719,-0.231,193.6094
19:25:46:607,-1.185,0.9751,7.2558,46.9667,0.4514,-0.4915,-0.1468,193.5781
19:25:46:627,-1.2449,0.9571,7.2139,48.4245,-0.0479,-0.3295,0.0252,193.875
19:25:46:644,-1.1132,0.4471,8.6575,50.2732,-0.363,-0.2246,0.1595,194.3281
19:25:46:664,-0.8941,0.0784,9.632,47.3822,-0.367,-0.3357,0.1869,194.3438
19:25:46:683,-0.845,0.1586,9.2322,49.2208,-0.2746,-0.6124,0.1483,194.1562
19:25:46:707,-0.9288,0.5178,8.3774,50.6495,-0.3153,-0.8592,0.1387,193.9688
19:25:46:724,-0.5805,0.8422,8.0985,47.6151,-0.4272,-0.9224,0.217,193.8438
19:25:46:743,-0.1232,1.0062,8.0243,47.9749,-0.4844,-0.8124,0.2937,193.7812
19:25:46:763,0.8489,1.1438,8.4073,49.7909,-0.3593,-0.4491,0.2604,193.6094
19:25:46:784,0.8046,1.2683,8.4792,46.9399,-0.1902,-0.2536,0.144,193.3438
19:25:46:806,0.4682,1.4934,8.1967,47.108,-0.0088,-0.1335,0.0519,193.0312
19:25:46:828,0.5472,1.6311,7.5012,47.9228,0.1073,-0.104,0.0119,192.7812
19:25:46:844,0.2371,1.9627,7.312,48.4874,0.1201,-0.1192,-0.0248,192.6406
19:25:46:863,0.2288,2.1027,7.3156,45.8879,0.1004,-0.1178,0.0274,192.5938
19:25:46:883,0.4514,2.226,7.4808,48.1227,0.0914,-0.1439,0.0263,192.5938
19:25:46:908,0.5424,2.3709,7.9213,46.7573,0.0525,-0.1037,0.0303,192.625
19:25:46:923,0.4933,2.4176,8.8742,46.8812,0.0392,0.0071,0.0441,192.6094
19:25:46:942,0.4119,2.3589,9.8595,47.6375,0.1111,0.104,0.0625,192.6094
19:25:46:967,0.4993,2.2236,11.0087,46.8904,0.2375,0.1695,0.0617,192.5781
19:25:46:982,0.6166,2.2404,11.2924,47.0522,0.4187,0.0311,-0.011,192.5312
19:25:47:004,0.8105,2.4367,11.1499,45.5571,0.5065,-0.1916,-0.1223,192.4531
19:25:47:025,0.8788,2.7252,10.8961,46.1173,0.4666,-0.3809,-0.2144,192.375
19:25:47:043,1.3217,2.6785,11.5737,46.5909,0.3537,-0.2904,-0.1894,192.3906
